Query,Key
Why do we calculate the vector of a document by averaging the vectors of all the words?,"we should obtain the vector of a document by averaging the vectors of all the words

This is not necessarily the case. But surely it is a convenient approach. The main advantage in particular, is to avoid issues due to different lengths for different documents. By obtaining a single final vector, we make sure we can compare any document of any length. Concatenating or performing other operations with the word vectors would probably force you define a max length and pad shorter documents / trim longer documents. A final note is that usually it's always a good practice to remove stop words from the documents, i.e. most frequent words which don't provide much semantic meaning.

May I know how does the vector of all the words in the document retain the information of the words?

This really depends on how you obtain the words vectors. If you just perform one hot encoding then performing an average is actually meaningless, since you would generate real numbers out of binary representations. So I assume you're planning to use embeddings generate through word2vec, skipgram, glove or other deep learning models. In that case to understand why averaging provide useful information you need to understand first how these models turn words into vectors. The extensive explanation is beyond the question so to keep it short: dense representation allows to do simple math with words. When translating words into dense representation similar words will be turned into similar (close in space) vectors. Of course there would be differences depending on the chosen model. For example Skipgram is better in capturing semantic more than word2vec, which in contrast still encode quite a lot of grammatical similarities, so if comparing two document talking about celebrities planets, both will probably contain the word ""star"", but a skipgram model would probably be able to better distinguish the documents since start would have more skewed values in the dimensions encoding both domains, and the other words in the document would provide the information to boost the right dimension, whereas a more grammatical model would have a harder time distinguishing the documents since grammatically, start and similar words are used in a similar fashion.

Would it be better if i retrieved similar words of the query and checked if these words were in each document?

You surely can try that, but it would hardly perform better than using any dense representation. Reason being that words themselves provide no information at all about the contextual relationship between them. For example ""apple"" could be present in a shop list, a review of an Apple product, or it could even be used as a slang for drugs."
What to do if training loss decreases but validation loss does not decrease?,"Welcome to DataScience. This looks like a typical of scenario of overfitting: in this case your RNN is memorizing the correct answers, instead of understanding the semantics and the logic to choose the correct answers.

A typical trick to verify that is to manually mutate some labels. For instance, you can generate a fake dataset by using the same documents (or explanations you your word) and questions, but for half of the questions, label a wrong answer as correct. If you re-train your RNN on this fake dataset and achieve similar performance as on the real dataset, then we can say that your RNN is memorizing.

Note that it is not uncommon that when training a RNN, reducing model complexity (by hidden_size, number of layers or word embedding dimension) does not improve overfitting.

If it is indeed memorizing, the best practice is to collect a larger dataset. I understand that it might not be feasible, but very often data size is the key to success. If you haven't done so, you may consider to work with some benchmark dataset like SQuAD or bAbI."
Where can I learn the complete mathematics involved in LDA?,"Welcome to DS.SE!

I believe the Latent Dirichlet Allocation paper by Blei, Ng, and Jordan (all big names in AI/ML/NLP) is a point to start. They provided the math foundation as well as multiple examples.

See: Blei, David M., Andrew Y. Ng, and Michael I. Jordan. ""Latent dirichlet allocation."" Journal of machine Learning research 3.Jan (2003): 993-1022."
Is there an NLP corpus that contains common medical terms?,"Welcome to the biomedical domain, one of the few domains in NLP where there are too many resources to choose from :)

Data resources:
Medline is a database corpus of 30 millions abstracts.
Each Medline abstract is annotated with Mesh descriptors, Mesh being a structured hierarchy of medical concepts.
PubMed Central (PMC) is a database of around 6 millions full biomedical articles (not only abstracts).
UMLS is a database of millions of medical terms grouped by concept, themselves grouped by semantic type (e.g. disease, gene, etc.)
PubTator is a resource which provides all the Medline and PMC documents fully annotated with a combination of Mesh and other ontologies.
Software tools:
MetaMap is the venerable annotator system which annotates any medical text with UMLS labels.
cTakes is another annotator system which is more specialized with clinical texts.
SciSpacy is a Spacy variant specialized for biomedical text. It can also annotate medical terms with UMLS labels.

I think that's all the main ones that I know of... so far.

From your description it looks to me like you probably just need cTakes or SciSpacy. In case you're going to start working with Medline or PMC, be aware that these datasets are massive (a few hundreds GBs)."
How to preprocess data for Word2Vec?,"Welcome to the community,

I do not know about other libraries, but gensim has a very good API to create word2vec models. In order to preprocess data, you have to decide first what things you are gonna keep in your vocab and whatnot. for ex:- Punctuations, numbers, alphanumeric words(ex - 42nd) etc.

In my knowledge, the most generic preprocessing pipeline is the following:-

1) Convert to lower 2) Remove punctuations/symbols/numbers (but it is your choice) 3) Normalize the words (lemmatize and stem the words)

Once this is done, now you can tokenize the sentence into uni/bi/tri-grams.

Have a look at this

The generic format to put data in gensim.models.word2vec()'s sentence parameter is : [[tokeneized sentence 1], [tokenized sentence 2].....and so on]

Hope it helps, thanks!!"
Preprocessing text before use RNN,"Welcome to the Data Science forum.

Yes, data preprocessing is an important aspect of sentiment analysis for better results. What sort of preprocessing to be done largely depends on the quality of your data. You'll have to explore your corpus to understand the types of variables, their functions, permissible values, and so on. Some formats including html and xml contain tags and other data structures that provide more metadata.

At a high level the sentiment analysis (using bag of words) will involve 4 steps:

Step 1: Data Assembly
Step 2: Data Processing
Step 3: Data Exploration or Visualization
Step 4: Model Building & Validation (train & test)

Lets understand different possible data preprocessing activities:

Convert text to lowercase – This is to avoid distinguish between words simply on case.

Remove Number – Numbers may or may not be relevant to our analyses. Usually it does not carry any importance in sentiment analysis

Remove Punctuation – Punctuation can provide grammatical context which supports understanding. For bag of words based sentiment analysis punctuation does not add value.

Remove English stop words – Stop words are common words found in a language. Words like for, of, are etc are common stop words.

Remove Own stop words(if required) – Along with English stop words, we could instead or in addition remove our own stop words. The choice of own stop word might depend on the domain of discourse, and might not become apparent until we’ve done some analysis.

Strip white space – Eliminate extra white spaces.

Stemming – Transforms to root word. Stemming uses an algorithm that removes common word endings for English words, such as “es”, “ed” and “’s”. For example i.e., 1) “computer” & “computers” become “comput”

Lemmatisation – transform to dictionary base form i.e., “produce” & “produced” become “produce”

Sparse terms – We are often not interested in infrequent terms in our documents. Such “sparse” terms should be removed from the document term matrix.

To give you more insight onto the steps involved, here are some example sentiment analysis using logistic regressions codes https://github.com/srom/sentiment

https://github.com/jadianes/data-science-your-way/blob/master/04-sentiment-analysis/README.md

Hope this helps."
Why is data science not yet widely applied to Law? [closed],"Welcome to the site and thanks for the great question! I recently led an NLP project that dealt with a lot of laws. While I have to obfuscate my actual work, here's a general view:

The laws themselves may not be the best source data. It would take a massively transformed recordset in order to make most laws actionable for modeling. I'm talking about big rooms, full of lawyers providing an annotated version of laws in order to create a recordset that can actually be useful
The above assumes that the laws have been digitized in some easy to digest format. That may not always be the case. In a lot of instances, you are referring back to classic OCR approaches as part of your data prep and I don't know anyone that likes working with OCR :-)
The human-in-the-loop requirements are very high. So you have an algorithm, now what? That's not something you can just put out on Mechanical Turk for the layman to verify. You need more lawyers to help with the verification of your approach and correct mistakes that are happening
Finally, you must get very sophisticated with your embedding layers in how you create and apply them. That's not an easy thing to do and very processor intensive - a GPU is highly recommended and not a lot of grassroot efforts are going to have this processing power

Good luck!"
Detect sensitive data from unstructured text documents [closed],"Welcome to the site! Assuming that I understand your problem correctly, I think you can achieve a working model.

If I was in your position I would:

Obtain the cleanest data possible from the documents. For example, you don't state if the docs are already in simple text or if you need to do something like OCR or whatnot. Having the cleanest set possible will be key for this.
Make sure you have a consistent marker for the sensitive data. You mention four dots - is that the case for ALL instances? If not, clean that data now
You're going to need to do standard NLP cleansing stuff like removing punctuation but you may or may not want to keep stop words (this will be part of your model testing). Also, this is key, be 100% certain that the four dots are viewed as a single work in your tokenization process - you should be able to verify this prior to committing to your tokenization file.
I would take all my documents and create 3 word ngrams. I would then separate out ngrams that contain sensitive data and not sensitive data. That, essentially, becomes your labeled dataset and you should label them accordingly.
My base model would use all entries that contain sensitive data in the second position of the ngram (the middle of the three words). I would train a neural network on that and see what kind of results I achieve with that. NOTE that your four dots will not be an input, only the word previous and after will be your inputs. You could almost treat this as a binary classification model - the middle word is either sensitive or it's not.
Future iterations of my model would maybe use a multi-classification approach with something like (1) No sensitive data (2) sensitive data in first position (3) sensitive data in second position and (3) sensitive data in third position and so on and so on.
From there, you can play with variations on the size of the ngram since the immediate words may or may not actually have an effect on the predictions. There's no limit to how crazy you can get with this - you won't know until you start modeling.

Finally, your entire project becomes even more interesting when you go to the prediction phase with new data. You will do the same and break down your document into ngrams and create a prediction for each one and output the result. In other words, you will need to break down your document only to turn around and build it up again - that should be a fun script to write! Good luck with this, let us know how it turns out."
Which neural network to choose for classification from text/speech?,"Welcome to the site. I'm a little disturbed by the other two answers you received here. It sounds like you are skipping a whole lot of steps and wanting to jump right into modeling - that's a massive mistake!

You are a scientist! Your role is to create the most fair, unbiased environment possible to let the data speak to you (not the other way around!). What worked before (LSTM) may or may not be the best approach to this completely new data set. Therefore, after doing your EDA phase, you should keep an ""open field"" view to the multiple models that you will examine and test prior to making any decisions about which model to proceed with. The answer may not even be a neural network, it may be a whole different approach.

Please, be responsible your data science practice. You cannot jump into modeling right away. Let the data speak to you."
NLP grouping word categories,"Well ... the simplest approach is using Fuzzy String Matching and it will work. Just go through the examples in python implementation of it (fuzzywuzzy) and you will understand how it works. You need to find a threshold by practice to determine if two strings are similar enough to be considered as same concept.

If it didn't work please drop a line in the comments so I can propose more sophisticated algorithms.

Good luck!"
Automating 3D Modeling using NLP,"Well sure it's doable: the NLP part is just speech recognition + extracting the formal command from the text, it's very similar to ""virtual assistants"" like Apple Siri, Amazon Alexa, Ok Google.

However the hard part is to formalize all the possible commands that can be given, and then train a model to correctly map voice commands to software instructions.

I'm not convinced that it's very useful, because giving detailed instructions like ""move object to position x=3.45678, y=-9.8765, z=1.2345"" is not as intuitive as using a mouse to move the object. There's a fallacy in imagining that language commands are easier than learning to use a software or programming language: it works for very simple tasks, but as soon as one needs a bit of precision general language is too ambiguous."
Word2Vec vs. Sentence2Vec vs. Doc2Vec,"Well the names are pretty straight-forward and should give you a clear idea of vector representations.

The Word2Vec Algorithm builds distributed semantic representation of words. There are two main approaches to training, Continuous Bag of Words and The skip gram model. One involves predicting the context words using a centre word, while the other involves predicting the word using the context words. You can read about it in much detail in Mikolov's paper.

The same idea can be extended to sentences and complete documents where instead of learning feature representations for words, you learn it for sentences or documents. However, to get a general idea of a SentenceToVec, think of it as a mathematical average of the word vector representations of all the words in the sentence. You can get a very good approximation just by averaging and without training any SentenceToVec but of course, it has its limitations.

Doc2Vec extends the idea of SentenceToVec or rather Word2Vec because sentences can also be considered as documents. The idea of training remains similar. You can read Mikolov's Doc2Vec paper for more details.

Coming to the applications, it would depend on the task. A Word2Vec effectively captures semantic relations between words hence can be used to calculate word similarities or fed as features to various NLP tasks such as sentiment analysis etc. However words can only capture so much, there are times when you need relationships between sentences and documents and not just words. For example, if you are trying to figure out, whether two stack overflow questions are duplicates of each other.

A simple google search will lead you to a number of applications of these algorithms."
How can I group texts with similar content together?,"Well, after further googling I found the solution: MinHash or SimHash will do the job and I also found a tool implementing MinHash written in Scala on GitHub right at this link"
What are tokens and tokenizations?,"Well, I think it is better to watch a course about it. But, for instance, when people comment on different products on Amazon, there is a way to understand are their comments positive or negative, therefore their comments are used as data, analyzed and then labeled as positive or negative. Further, using this approach, one can find whether an email is spam or not, etc.

In order to analyze a text, we need to split it into its elements, meaning, its words (usually) each of these elements is called a token.

after splitting the text to words, useless words that do not represent anything, some signs, etc (the, ""."", ""my"",...) are omitted, then we create bags of words, that are the most important words in the whole dataset (all comments), then each word is a column in the table and each row of the table is a comment and has 1 in a column if it contains that specific word. there is also a label column that shows if the comment is positive or not. then having this dataset, we can fit a classification model to the dataset."
Is binary classification the right choice in this case?,"Well, I think that you identified the options and problems quite well.

The main problem in this kind of text classification task is that it's impossible to obtain a representative sample of the negative class.
Binary classification is certainly a reasonable option, but since a classifier learns to separate the two classes there's always a risk that some future negative example won't look like any of the training examples and end up misclassified.
One-class classification is also a reasonable option. By definition it's supposed to handle the open classification problem better, but it's not always the case in practice.
Calculating a similarity measure against the reference documents is possible, but it's not efficient so rarely convenient. The performance also depends a lot on the data and measure chosen, and of course there is the problem of determining an optimal threshold.
The class imbalance should probably not be treated by resampling, it's not going to solve anything. Imbalance is a problem only because the model doesn't find good indications in the features, so imho the only good option is to investigate and understand why the features don't help the model in cases of errors. Very often it's because the minority class is simply not representative enough."
How do we evaluate the outputs of text generation models?,"Well, you missed the old good human evaluation, which is the only actual measure that can actually be trusted in terms of semantic evaluation. Also, in the reference n-gram matching area you missed BLEU, which is the standard evaluation measure in machine translation, and METEOR, which applies stemming and handles synonyms to avoid the surface word problem you mentioned.

Apart from that, in the space of embedded vector approaches, it is worth mentioning BERTscore, which seems to work very very well. This is the abstract of the article, published at ICLR'20:

We propose BERTScore, an automatic evaluation metric for text generation. Analogously to common metrics, BERTScore computes a similarity score for each token in the candidate sentence with each token in the reference sentence. However, instead of exact matches, we compute token similarity using contextual embeddings. We evaluate using the outputs of 363 machine translation and image captioning systems. BERTScore correlates better with human judgments and provides stronger model selection performance than existing metrics. Finally, we use an adversarial paraphrase detection task to show that BERTScore is more robust to challenging examples when compared to existing metrics.

These are some references to better understand BERTscore's measures and their traits:

A Fine-Grained Analysis of BERTScore (WMT'21)
A Study of Automatic Metrics for the Evaluation of Natural Language Explanations (EACL'21)
BERTScore is Unfair: On Social Bias in Language Model-Based Metrics for Text Generation (EMNLP'22)

Also worth mentioning the WMT Metrics Shared Task, which aims at devising automatic evaluation metrics for machine translation. There, each year you can find practical comparisons of the submitted evaluation metrics."
Stackoverflow API Structure data storage,"What do you want to define as your document? You could define a document as a single question, each question-answer pair, or a question with all its answers. How you define a document depends on why you want to cluster documents and how you plan to use this information. From reading your question, my guess is that you want to define a question with all its answer as a document.

Next, it sounds like you want to apply bag of words techniques to extract features (e.g. tf-idf). If so, you would first want to concatenate the question title, question body, and each answer body into one string object. Then I would suggest using a Python package like scikit learn or nltk to do the other preprocessing steps. For example in scikit learn you can then apply TfidfVectorizer to convert a string to a vector.

This is unrelated to your question, but it may be easier to use the data explorer instead of the StackOverflow API. The data explorer allows you to download questions and answers in a large batch and does not have a quota. Unless you need to collect data in real time, the data explorer may be more efficient. It is updated every week and you can use SQL queries to output data tables as csv."
What can I use to post process an NLP tree generated from the python library `spaCy`?,"What do you want to do with the chat bot? How you parse it will depend on the final use case and, believe it or not, many people get the job done by simply collecting the POS they want and using some filtering.

If you want to try to maintain more of the data and perhaps abstract it makes sense to try clustering of some kind, perhaps using hierarchical methods, such as the (relateively new) hdbscan. The features on which you cluster will again depend on what you want to achieve.

If you haven't already, check out the spaCy examples for some inspiration!

Once you have a corpus with word all tagged, you can try training models that might be able to answer questions, based on user input. This will involve steps such as creating encoding of the words (or entire user questions), using embeddings such as Word2Vec, GLoVe, or simple sparse one-hot encodings. You basically need to transform words into numerical input somehow.

I hope this gives you some keywords to help you on your search :-)"
Classification of substrings?,"What is the appropriate method to find n-grams/sub-phrases/parts-of-sequences that are referring to a specific topic or belong to a certain category?

An important question to solve this problem would be: what is the range of input topics? Is the topic selected among a predefined closed list? Can it be any search query?
A similar question might be asked about the target documents and/or terms: can they be processed so that any candidate term is extracted in advance, and the task only consists in identifying the right terms for the particular topic?

Assuming the most open variant of the question (i.e. nothing is available beforehand), I think that one would need:

a terminology extraction system which extracts any candidate term from the text (preferably specific to the data to be processed).
a third-party resource in order to calculate a semantic representation (typically a vector) of any possible term including the input topic query, so that the topic can be matched/compared against any term."
Continuous Bag Of Words (CBOW) network architecture?,"What is the proper architecture to train CBOW encodings?

The original paper by Mikolov et al uses 1 hidden layer. However, for NLP tasks (and deep learning in general), there is no ""correct"" number of layers to use.

For some tasks, you might find using more hidden layers to be better, for other tasks maybe one hidden layer is sufficient. The number of layers is a hyperparameter, along with other 'design choices' like the dimension of the embedding vectors, the size of the vocabulary, and many, many more.

If this multiple hidden layer approach is correct, how do you not lose semantic information when you only use one of the layers as the encodings?

I think of it this way. When training CBOW, the hidden layers learn some 'relationship function' between the input context words and the output target word. In order for the 'relationship function' to perform well, the embeddings must be arranged accordingly (in N-dimensional space), and it just happens that the optimal arrangement encodes semantic information.

So the hidden layers shouldn't really have anything to do with semantic information. However, because of the immense modeling power of hidden layers (which make up neural networks), the truth is the embeddings will inevitably lose some semantic information to the hidden layers.

If the single hidden layer approach is correct, does anyone have examples of this being implemented using this approach in PyTorch (fine if no)?

Here's literally the 1st github example off Google."
Overfitting while fine-tuning pre-trained transformer,"What makes you think your model is overfitting? Are you concerned about the difference between the training loss and validation loss?

If so, this is not overfitting. Overfitting is when the weights learned from training fail to generalize to data unseen during model training.

In the case of the plot shown here, your validation loss continues to go down, so your model continues to improve its ability to generalize to unseen data.

Once your validation loss starts creeping upward, then you have begun to overfit.

See chapter 5 of Jeremy Howard's Deep Learning for Coders with fastai and PyTorch for more details. https://www.amazon.com/Deep-Learning-Coders-fastai-PyTorch/dp/1492045527"
How could I improve my classifier of text data?,"What type of information would you see as contact information? If it's just phone number and email address I would probably use a simple rule based classifier using (regex) pattern matching, which will probably already get you quite far. In addition you could use specific keywords that are often related to contacting someone such as call, send, mail, etc., for this you can use your existing training dataset to see what these types of words are for your use case."
Problem of continuous training - Supervised learning,"What you are describing is called auto-adaptive learning. This is what most recommendation systems use to adapt to ever changing data and feedback. It is also known as autoML. This https://towardsdatascience.com/how-to-apply-continual-learning-to-your-machine-learning-models-4754adcd7f7f Article does a good job of explaining it. Based on what your data looks like, you might have to choose the appropriate retraining strategy and do a staggered deployment."
Extract date/duration from text,"What you are trying to do here is named-entity recognition. Namely, the task consists of classifying substrings into a set of named entities (i.e. person, location, etc.). From a more formal perspective, this is a sequence labeling task that classifies parts of a sequence.

This task can be approached in different ways:

gazetteers/string matching
regular expressions
machine learning

I would highly recommend using SpaCy. They allow you to customize and retrain a model with your own data and labels, and typically, for such a use case, the model will perform well without requiring massive amounts of data."
to include first single word in bigram or not?,"What you describe is called padding and is indeed used frequently in language modeling. For instance if one represents the sequence ""A B C"" with trigrams:

# # A
# A B
A B C
B C #
C # #


The advantages of padding:

it makes every word/symbol appear the same number of times whether it appears in the middle of the sequence or not.
it marks the beginning and end of a sentence/text, so that the model can represent the probability to start/end with a particular word."
Is there any NLP framework/ algorithm which is able to derive relationships between different entities?,"What you describe touches on several tasks in NLP:

semantic role labeling
relationship extraction
paraphrase detection and textual entaiment

I might not be aware of the recent developments on these tasks, but as far as I know this is a very complex problem for which so far there is no satisfactory solution."
NLP: Information extraction,"What you need is perhaps Named Entity Recognition with custom entity dictionary. See this example:

Many packages like NLTK or Spacy have a large dictionary of such entities that enable models to identify them without using regular expressions. However, those pre-defined entities often is not applicable to one's application, thus won't recognize what you are looking for. That is why you need to spend time to update/add a list of such entities (products in your case). Also you mentioned that there are misspelling, variations etc. that make it harder. Here is where you need to expand your dictionary for such products with a fuzzy-matching algorithms to account for such edge cases programmatically.

You may start reading this article to the idea. More about Named Entity Recognition: a Blogpost, or the official Named Entity Recognition 101 by Spacy. Spacy supports adding products name in the Entity list, see page. Check out this question in stackoverflow too. But it is not easily available as you may have thought!!"
Classify text as logical/ not logical,"What you need is simply a language model. This is a very common task so you should be able to find code and data easily. This question gives some pointers for Python (be careful, the accepted answer is incorrect according to the two other answers).

Applying the language model to a sentence gives you a probability (or a perplexity score, which works the opposite way), so you have to define a threshold in order to classify as real language or not."
How to retrain Glove Vectors on top of my own data?,"What you should do is:

Create a new instance of a GloVe model with the old_words and new_words as vocabulary.
Replace the initial vectors/biases of the old_words with the ones you have already.
Train this model on mydata.txt.

The new old_words representations won't be the same but will be highly influenced by the old ones."
What ML techniques can be used to determine context across sentences?,"What you want to do is to extract the relation within the sentence and in this case beyond - so basically a cross-sentence relation extraction.

Ambiguity and the context of words is a big deal when doing this kind of task. There might be multiple ways to get there, but it also depends on your goal (production environment, research or just doing it for fun to get into NLP).

I would recommend you looking into Graph LSTMs (e.g. this Paper)"
Build a corpus for machine translation,"What you would typically do in your case is to apply a sentence alignment tool. Some popular options for that are:

hunalign: a classical tool that relies on a bilingual dictionary.
bleualign: it aligns based on the BLEU score similarity
vecalign: it is based on sentence embeddings, like LASER's.

I suggest you take a look at the preprocessing applied for the ParaCrawl corpus. In the article you can find an overview of the most popular methods for each processing step.

A different option altogether, as you suggest, is to translate at the document level. However, most NMT models are constrained in the length of the input text they accept, so if you go for document-level translation, you must ensure that your NMT system can handle such very long inputs. An example of NMT system that can be used for document-level NMT out of the box is Marian NMT with its gradient-checkpointing feature."
Extract most informative parts of text from documents,"What you're describing is often achieved using a simple combination of TF-IDF and extractive summarization.

In a nutshell, TF-IDF tells you the relative importance of each word in each document, in comparison to the rest of your corpus. At this point, you have a score for each word in each document approximating its ""importance."" Then you can use these individual word scores to compute a composite score for each sentence by summing the scores of each word in each sentence. Finally, simply take the top-N scoring sentences from each document as its summary.

Earlier this year, I put together an iPython Notebook that culminates with an implementation of this in Python using NLTK and Scikit-learn: A Smattering of NLP in Python."
Summing three lexicon based approach methods for sentiment analysis?,"What you're proposing is some very simple form of ensemble learning. You need to have at least a sample of labelled data in order to evaluate any method. Using this labelled data you can:

evaluate each of the three methods on their own
evaluate your idea of averaging the 3 methods predictions
if you have enough labelled data, you could even train a model which combines their predictions optimally (this would be full-fledged stacked generalization)"
Integration of NLP and Angular application,"When deploying a model into production, similar data transformation steps have to be taken during training and prediction.

Scikit-learn has a Pipeline class that makes it more straightforward to do that.

Something like:

import pickle

from sklearn.feature_extraction.text import CountVectorizer
from sklearn.naive_bayes             import GaussianNB
from sklearn.pipeline                import Pipeline

pipeline = Pipeline(
    [
        (""vect"", CountVectorizer()),
        (""clf"", GaussianNB()),
    ]
)

# Training
pipe.fit(X_train, y_train)
saved_model = pickle.dumps(clf)

# Predicion in app
pipe = pickle.loads(saved_model)
pipe.predict(X)"
Sentiment Analysis: Creating dictionary from dataset,"When looking on the probability of word occurrence, you will get stop words and other popular words. You are interested in words that appear more in the comments (assumed hate related) than in normal use.

Get a neutral resource (e.eg., a German newspaper, the German wikipedia, maybe Google ngrams for German). Compute the probability on the neutral source 
P
neutral
(word)
𝑃
𝑛
𝑒
𝑢
𝑡
𝑟
𝑎
𝑙
(
𝑤
𝑜
𝑟
𝑑
)
, the probability of the comments 
P
comments
(word)
𝑃
𝑐
𝑜
𝑚
𝑚
𝑒
𝑛
𝑡
𝑠
(
𝑤
𝑜
𝑟
𝑑
)
 and look for the words of lift 
P
comments
(word)
P
neutral
(word)
>1
𝑃
𝑐
𝑜
𝑚
𝑚
𝑒
𝑛
𝑡
𝑠
(
𝑤
𝑜
𝑟
𝑑
)
𝑃
𝑛
𝑒
𝑢
𝑡
𝑟
𝑎
𝑙
(
𝑤
𝑜
𝑟
𝑑
)
>
1
. These are the words that are more popular at the comments.

As @chi wrote, many repositories can both give you a head start and help you tune the needed lift threshold (you might want words that appear much more often in the comments).

After this phase you might need do do a finer analysis. For example, I guess that there will be politicians names that will appear more often in the comments. See here for a possible approach."
Stemming/lemmatization for German words,"When spacy can't find the model just download it with ""python -m spacy download de_core_news_sm"".

For your second problem, you should use stemming or lemmatization depending on your use case. If you have a lot of words and not enough processing power stemming will be the better solution. That should also solve your Katze/Katzen problem.

With lemmatization you can also aggregate words together that have the same meaning but not the same word stem. For example, ""besser"" would be transformed to ""gut"". So this really depends on how much detail you want."
Combining textual and numeric features into pre-trained Transformer BERT,"When they are talking about aggregating their outputs, they mean the final embeddings (just before the classification layer) not the output of the network itself.

You take the embeddings from both of the networks and concatenate them vertically. This concatenated embedding you use to predict the final output you wanted.

Torch has a function torch.cat for this purpose."
When to use cosine simlarity over Euclidean similarity,"When to use cosine similarity over Euclidean similarity

Cosine similarity looks at the angle between two vectors, euclidian similarity at the distance between two points.

Let's say you are in an e-commerce setting and you want to compare users for product recommendations:

User 1 bought 1x eggs, 1x flour and 1x sugar.
User 2 bought 100x eggs, 100x flour and 100x sugar
User 3 bought 1x eggs, 1x Vodka and 1x Red Bull

By cosine similarity, user 1 and user 2 are more similar. By euclidean similarity, user 3 is more similar to user 1.

Questions in the text

I don't understand the first part.

Cosine similarity is specialized in handling scale/length effects. For case 1, context length is fixed -- 4 words, there's no scale effects. In terms of case 2, the term frequency matters, a word appears once is different from a word appears twice, we cannot apply cosine.

This goes in the right direction, but is not completely true. For example:

cos((
1
0
),(
2
1
))=cos((
1
0
),(
4
2
))≠cos
((
1
0
),(
5
2
))
cos
⁡
(
(
1


0
)
,
(
2


1
)
)
=
cos
⁡
(
(
1


0
)
,
(
4


2
)
)
≠
cos
⁡
(
(
1


0
)
,
(
5


2
)
)

With cosine similarity, the following is true:

cos((
a
b
),⋅(
c
d
))=cos((
a
b
),n⋅(
c
d
)) with n
∈N
cos
⁡
(
(
𝑎


𝑏
)
,
⋅
(
𝑐


𝑑
)
)
=
cos
⁡
(
(
𝑎


𝑏
)
,
𝑛
⋅
(
𝑐


𝑑
)
)
 with 
𝑛
∈
𝑁

So frequencies are only ignored, if all features are multiplied with the same constant.

Curse of Dimensionality

When you look at the table of my blog post, you can see:

The more dimensions I have, the closer the average distance and the maximum distance between randomly placed points become.
Similarly, the average angle between uniformly randomly placed points becomes 90°.

So both measures suffer from high dimensionality. More about this: Curse of dimensionality - does cosine similarity work better and if so, why?. A key point:

Cosine is essentially the same as Euclidean on normalized data.
Alternatives

You might be interested in metric learning. The principle is described/used in FaceNet: A Unified Embedding for Face Recognition and Clustering (my summary). Instead of taking one of the well-defined and simple metrics. You can learn a metric for the problem domain."
How to consider the effect of exclamation marks in sentiment analysis,"When tokenizing, separate and keep the exclamation points. Then use a count-based vectorization to create exclamation points feature with the number of occurrences.

The model will then have the opportunity to learn to weigh how the frequency of exclamation points contribute to positive/negative sentiment."
How to do feature selection after using pre-trained word embeddings?,"When using a RNN, you don't feed all the data at once, you usually have a seq2seq model. The models are created with an encoder-decoder architecture. The LSTM is used in the encoding phase.

So, let's say you have a text of 78 words. You will feed the embedding vector (size 300) of those 78 words, 1-by-1 into your LSTM and in the end you will get a hidden vector which represents your sentence.

Then, you can take this hidden vector and use it for classification (with a feedforward neural network, for example).

So, it doesn't matter that you have 4293 unique words in your data. You need to feed your LSTM a sequence of size [<number of words in sentence> × 300]."
"In a Transformer model, why does one sum positional encoding to the embedding rather than concatenate it?","When you concatenate, you have to define a priori the size of each vector to be concatenated. This means that, if we were to concatenate the token embedding and the positional embedding, we would have to define two dimensionalities, 
d
t
𝑑
𝑡
 for the token and 
d
p
𝑑
𝑝
 for the position, with the total dimensionality 
d=
d
t
+
d
p
𝑑
=
𝑑
𝑡
+
𝑑
𝑝
, so 
d>
d
t
𝑑
>
𝑑
𝑡
 and 
d>
d
p
𝑑
>
𝑑
𝑝
. We would be decreasing the total size we devote to tokens in favor of positional information.

However, adding them together is potentially a super case of the concatenation: imagine that there is an ideal split of 
d
𝑑
 into 
d
t
𝑑
𝑡
 and 
d
p
𝑑
𝑝
 in terms of minimizing the loss; then, the training could converge to position vectors that only take 
d
t
𝑑
𝑡
 elements, making the rest zero, and the positions were learned and happened the same, taking the complementary 
d
p
𝑑
𝑝
 elements and leaving the rest to zero.

Therefore, by adding them, we leave the optimization of the use of the 
d
𝑑
 dimensions to the optimization process, instead of assuming there is an optimal partition of the vector components and setting a new hyperparameter to tune. Also, the use of the vector space is not restricted by a hard split in the vector components, but takes the whole representation space."
How to handle negative words in word2vec?,"When you look at the vectors that word2vec generates - negative words may have unique features but can be treated just like positive words. That is to say, as far as the NN is concerned - these are just similar words. You may have to construct ""concept vectors"" on top of the word vectors to do what you would like to do.

Your parts of speech tagging should automatically mark negating words as ADV. You can then train on these adverbs in conjunction to your verbs as a positive or negative output. Here's an example using spacy:-

import spacy

nlp = spacy.load('en')        # this can take a while
sample_text = u'Do not go.'
parsed_text = nlp(sample_text)
token_text = [token.orth_ for token in parsed_text]
token_pos = [token.pos_ for token in parsed_text]


At this point token_text will be a list of your words and token_pos will be the POS tagging:-

Do - VERB
not - ADV
go - VERB
. - PUNCT


As you can see, ""not"" is tagged as ADV here. You can now feed this tagged output (or a better parse tree) into a second network to train for a negative or positive output.

Hope this helps."
